order_id,order_date,customer,region,product,quantity,unit_price,total
ORD-10001,2025-01-02,Contoso Ltd,NA,Enterprise Seat,11,90.0,990.0
ORD-10002,2025-01-19,Blue Yonder Airlines,NA,Analytics Suite,2,1200.0,2400.0
ORD-10003,2025-01-03,Northwind Traders,EMEA,Data Connector,1,300.0,300.0
ORD-10004,2025-01-08,Adventure Works,APAC,Enterprise Seat,2,90.0,180.0
ORD-10005,2025-01-27,Blue Yonder Airlines,NA,Enterprise Seat,1,90.0,90.0
ORD-10006,2025-01-21,northwind traders ,EMEA,Analytics Suite,1,1200.0,1200.0
ORD-10007,2025-01-19,Woodgrove Bank,EMEA,Analytics Suite,3,1200.0,3600.0
ORD-10008,2025-01-02,Adventure Works,APAC,Analytics Suite,1,1200.0,1200.0
ORD-10009,2025-01-14,Lucerne Publishing,NA,Data Connector,5,300.0,1500.0
ORD-10010,2025-01-10,Contoso Ltd,NA,Analytics Suite,3,1200.0,3600.0
ORD-10011,2025-01-19,Lucerne Publishing,NA,Data Connector,2,300.0,600.0
ORD-10012,2025-01-04,Woodgrove Bank,EMEA,Data Connector,6,300.0,1800.0
ORD-10013,2025-01-02,Lucerne Publishing,NA,Analytics Suite,3,1200.0,3600.0
ORD-10014,2025-01-22,Woodgrove Bank,EMEA,Data Connector,8,300.0,2400.0
ORD-10015,2025-01-15,Lucerne Publishing,NA,Enterprise Seat,6,90.0,540.0
ORD-10016,2025-01-10,Woodgrove Bank,EMEA,Enterprise Seat,6,90.0,540.0
ORD-10017,2025-01-25,Fabrikam Inc,APAC,Data Connector,12,300.0,3600.0
ORD-10018,2025-01-10,Fabrikam Inc,APAC,Analytics Suite,3,1200.0,3600.0
ORD-10019,2025-01-24,Lucerne Publishing,NA,Enterprise Seat,6,90.0,540.0
ORD-10020,2025-02-17,Tailspin Toys,NA,Analytics Suite,1,1224.0,1224.0
ORD-10021,2025-02-05,Adventure Works,APAC,Data Connector,6,306.0,1836.0
ORD-10022,2025-02-22,Coho Winery,EMEA,Enterprise Seat,1,91.8,91.8
ORD-10023,2025-02-23,Blue Yonder Airlines,NA,Support Plan,6,153.0,918.0
ORD-10024,2025-02-26,Wingtip Toys,EMEA,Enterprise Seat,10,91.8,918.0
ORD-10025,2025-02-09,Coho Winery,EMEA,Analytics Suite,1,1224.0,1224.0
ORD-10026,2025-02-24,Coho Winery,EMEA,Analytics Suite,1,1224.0,1224.0
ORD-10027,2025-02-23,Tailspin Toys,NA,Enterprise Seat,5,91.8,459.0
ORD-10028,2025-02-15,Adventure Works,APAC,Support Plan,1,153.0,153.0
ORD-10029,2025-02-04,Wingtip Toys,EMEA,Data Connector,10,306.0,3060.0
ORD-10030,2025-02-25,Coho Winery,EMEA,Analytics Suite,1,1224.0,1224.0
ORD-10031,2025-02-08,Tailspin Toys,NA,Data Connector,12,306.0,3672.0
ORD-10032,2025-02-03,Adventure Works,APAC,Enterprise Seat,8,91.8,734.4
ORD-10033,2025-02-18,Contoso Ltd,NA,Enterprise Seat,7,91.8,642.6
ORD-10034,2025-02-28,Tailspin Toys,NA,Data Connector,7,306.0,2142.0
ORD-10035,2025-02-14,Lucerne Publishing,NA,Support Plan,12,153.0,1836.0
ORD-10036,2025-02-05,Wingtip Toys,EMEA,Enterprise Seat,4,91.8,367.2
ORD-10037,2025-02-08,Blue Yonder Airlines,NA,Data Connector,3,306.0,918.0
ORD-10038,2025-02-27,Fabrikam Inc,APAC,Analytics Suite,2,1224.0,2448.0
ORD-10039,2025-02-10,Woodgrove Bank,EMEA,Data Connector,5,306.0,1530.0
ORD-10040,2025-02-18,Northwind Traders,EMEA,Data Connector,7,306.0,2142.0
ORD-10041,2025-03-23,Woodgrove Bank,EMEA,Support Plan,3,156.0,
ORD-10042,2025-03-28,Lucerne Publishing,NA,Analytics Suite,2,1248.0,2496.0
ORD-10043,2025-03-13,Lucerne Publishing,NA,Enterprise Seat,7,93.6,655.2
ORD-10044,2025-03-21,Adventure Works,APAC,Analytics Suite,2,1248.0,2496.0
ORD-10045,2025-03-03,Adventure Works,APAC,Analytics Suite,1,1248.0,1248.0
ORD-10046,2025-03-04,Fabrikam Inc,APAC,Enterprise Seat,3,93.6,280.8
ORD-10047,2025-03-01,Wingtip Toys,EMEA,Analytics Suite,1,1248.0,1248.0
ORD-10048,2025-03-04,Woodgrove Bank,EMEA,Data Connector,9,312.0,2808.0
ORD-10049,2025-03-28,Wingtip Toys,EMEA,Analytics Suite,1,1248.0,1248.0
ORD-10050,2025-03-21,Fabrikam Inc,APAC,Enterprise Seat,3,93.6,280.8
ORD-10051,2025-03-12,Tailspin Toys,NA,Support Plan,10,156.0,1560.0
ORD-10052,2025-03-28,Coho Winery,EMEA,Analytics Suite,1,1248.0,1248.0
ORD-10053,2025-03-16,Coho Winery,EMEA,Enterprise Seat,8,93.6,748.8
ORD-10054,2025-03-04,Tailspin Toys,NA,Analytics Suite,1,1248.0,1248.0
ORD-10055,2025-03-27,Wingtip Toys,EMEA,Support Plan,8,156.0,1248.0
ORD-10056,2025-03-17,Contoso Ltd,NA,Analytics Suite,1,1248.0,1248.0
ORD-10057,2025-03-18,Wingtip Toys,EMEA,Data Connector,12,312.0,3744.0
ORD-10058,2025-03-28,Northwind Traders,EMEA,Support Plan,11,156.0,1716.0
ORD-10059,2025-03-12,Blue Yonder Airlines,NA,Support Plan,9,156.0,1404.0
ORD-10060,2025-04-18,Wingtip Toys,EMEA,Data Connector,9,318.0,2862.0
ORD-10061,2025-04-08,Lucerne Publishing,NA,Support Plan,11,159.0,1749.0
ORD-10062,2025-04-27,Woodgrove Bank,EMEA,Data Connector,4,318.0,1272.0
